Hvor,Hva,Formål,Enhet,Sats,,,,,,
Rådhuset,Kantine m/kjøkken,Alle,pr gang,732,,,,,,
Rådhuset,Kommunestyresalen,Alle,pr gang,1371,,,,,,
Rådhuset,Komunestyresalen m/kjøkken,Alle,pr gang,1488,,,,,,
Rådhuset,Møterom for øvrig,Alle,pr gang,732,,,,,,
Skolelokaler,Grupperom - Fast,Alle,pr. time,79,,,,,,
Skolelokaler,Grupperom - Tilfeldig,Alle,pr. time,136,,,,,,
Skolelokaler,Gymsal - Fast,Alle,pr. time,111,,,,,,
Skolelokaler,Gymsal - Tilfeldig,Alle,pr. time,212,,,,,,
Skolelokaler,Klasserom - Fast,Alle,pr. time,88,,,,,,
Skolelokaler,Klasserom - Tilfeldig,Alle,pr. time,212,,,,,,
Skolelokaler,Skolekjøkken - Fast,Alle,pr. time,111,,,,,,
Skolelokaler,Skolekjøkken - Tilfeldig,Alle,pr. time,212,,,,,,
Øksneshallen m/garderober,Leie Skoler og barnehager i skoletiden,Alle,pr. time,0,,,,,,
Øksneshallen m/garderober,Leie Sortland videregående skole,Alle,pr. time,593,,,,,,
Øksneshallen m/garderober,Trening o/16 år - 1/4 hall,Alle,pr. time,141,,,,,,
Øksneshallen m/garderober,Trening o/16 år - 2/4 hall,Alle,pr. time,185,,,,,,
Øksneshallen m/garderober,Trening o/16 år - 3/4 hall,Alle,pr. time,241,,,,,,
Øksneshallen m/garderober,Trening o/16 år - 4/4 hall,Alle,pr. time,362,,,,,,
Øksneshallen m/garderober,Trening u/16 år - 1/4 hall,Alle,pr. time,35,,,,,,
Øksneshallen m/garderober,Trening u/16 år - 2/4 hall,Alle,pr. time,70,,,,,,
Øksneshallen m/garderober,Trening u/16 år - 3/4 hall,Alle,pr. time,105,,,,,,
Øksneshallen m/garderober,Trening u/16 år - 4/4 hall,Alle,pr. time,141,,,,,,
Øksneshallen u/loftet,Pr dag,turneringer,pr.dag,1396,,,,,,
Øksneshallen u/loftet,Pr time,turneringer,pr. time,282,,,,,,
Øksneshallen u/loftet,Pr weekend,turneringer,pr.weekend,2315,,,,,,
Øksneshallen u/loftet,Pr weekend,barn 8-12 år,pr.weekend,4638,,,,,,
Øksneshallen u/loftet,Pr lørdag,Andre, søndag og helligdag,Pr dag,9277,,,,,
Øksneshallen u/loftet,Pr time,Andre,pr. time,1856,,,,,,
Øksneshallen u/loftet,Pr ukedag,Andre,Pr dag,7421,,,,,,
Øksneshallen u/loftet,Pr weekend,Andre,Pr weekend,12987,,,,,,
Øksneshallen Vestibyle m/kjøkken,Pr dag,Alle,pr.dag,460,,,,,,
Øksneshallen Vestibyle m/kjøkken,Pr time,Alle,pr. time,133,,,,,,
Øksneshallen Vestibyle m/kjøkken,Pr weekend,Alle,pr.weekend,1208,,,,,,
Øksneshallen Loftet med Kjøkken,1 klasserom,Alle,pr. time,141,,,,,,
Øksneshallen Garderobe /badstu,Leie badstu,Alle,pr. time,73,,,,,,
Øksneshallen Garderobe /badstu,Tillegg pr bruker,Alle,pr.stk,14,,,,,,
Øksneshallen - Renovasjonstjenester,Renovasjon (konteiner) tilknyttet alle turneringer og arrangement,Alle,pr.gang,2226,,,,,,
Idrettsparken inkl kunstgress,Pr helligdagdag,Alle,Pr dag,10203,,,,,,
Idrettsparken inkl kunstgress,Pr time,Alle,pr. time,2226,,,,,,
Idrettsparken inkl kunstgress,Pr ukedag,Alle,Pr dag,7421,,,,,,
Idrettsparken inkl kunstgress,Pr weekend,Alle,Pr weekend,13915,,,,,,
Banen med speakerbu,Leie pr kamp,Alle, serie, cup, inkl 2 utegarderober for Gutter/piker,pr gang,460,,,
Banen med speakerbu,Leie pr kamp,Alle, serie, cup, inkl 2 utegarderober for junior, senior, veteran, bedrift,pr gang,460
Banen med speakerbu,Leie pr time ulike arrangementer,Alle,pr gang,460,,,,,,
Banen med speakerbu,Sesongavgift over 16 år,Alle,pr gang,2315,,,,,,
Banen med speakerbu,Sesongavgift under 16 år,Alle,Pr gang,0,,,,,,
Banen med speakerbu,Turneringer med 2 garderober ikke mini lag (8-12 år) pr dag,Alle,pr gang,1856,,,,,,
Banen med speakerbu,Turneringer med 2 garderober ikke mini lag (8-12 år) pr weekend,Alle,pr gang,3710,,,,,,
Banen med speakerbu,Turneringer med 2 garderober mini lag for kamper,Alle, serie og cup ( (8-12 år) pr weekend,pr gang,1856,,,,,
Banen med speakerbu,Turneringer med 2 garderober mini lag for kamper,Alle, serie og cup (8-12 år) pr dag,pr gang,928,,,,,
Banen med speakerbu,Vestibyle m/kjøkken,Alle,,0,,,,,,
På skoler o.l.,Overnatting lag og foreninger,Alle, Barn,,53,,,,,
På skoler o.l.,Overnatting lag og foreninger,Alle, Minstesats per natt,,488,,,,,
På skoler o.l.,Overnatting lag og foreninger,Alle, Voksne,,64,,,,,
